value,5-card,6-card,7-card,8-card,hand,rank
1621,64,2304,36432,323700,"['A', 'A', 'A', 'Q', 'J']",3K
1622,64,2048,28336,218400,"['A', 'A', 'A', 'Q', 'T']",3K
1623,64,1792,21252,136500,"['A', 'A', 'A', 'Q', '9']",3K
1624,64,1536,15180,78000,"['A', 'A', 'A', 'Q', '8']",3K
1625,64,1280,10120,39000,"['A', 'A', 'A', 'Q', '7']",3K
1626,64,1024,6072,15600,"['A', 'A', 'A', 'Q', '6']",3K
1627,64,768,3036,0,"['A', 'A', 'A', 'Q', '5']",3K
1628,64,512,1012,0,"['A', 'A', 'A', 'Q', '4']",3K
1629,64,256,0,0,"['A', 'A', 'A', 'Q', '3']",3K
1630,64,0,0,0,"['A', 'A', 'A', 'Q', '2']",3K
1631,64,2048,28336,214500,"['A', 'A', 'A', 'J', 'T']",3K
1632,64,1792,21252,136500,"['A', 'A', 'A', 'J', '9']",3K
1633,64,1536,15180,78000,"['A', 'A', 'A', 'J', '8']",3K
1634,64,1280,10120,39000,"['A', 'A', 'A', 'J', '7']",3K
1635,64,1024,6072,15600,"['A', 'A', 'A', 'J', '6']",3K
1636,64,768,3036,0,"['A', 'A', 'A', 'J', '5']",3K
1637,64,512,1012,0,"['A', 'A', 'A', 'J', '4']",3K
1638,64,256,0,0,"['A', 'A', 'A', 'J', '3']",3K
1639,64,0,0,0,"['A', 'A', 'A', 'J', '2']",3K
1640,64,1792,21252,132600,"['A', 'A', 'A', 'T', '9']",3K
1641,64,1536,15180,78000,"['A', 'A', 'A', 'T', '8']",3K
1642,64,1280,10120,39000,"['A', 'A', 'A', 'T', '7']",3K
1643,64,1024,6072,15600,"['A', 'A', 'A', 'T', '6']",3K
1644,64,768,3036,0,"['A', 'A', 'A', 'T', '5']",3K
1645,64,512,1012,0,"['A', 'A', 'A', 'T', '4']",3K
1646,64,256,0,0,"['A', 'A', 'A', 'T', '3']",3K
1647,64,0,0,0,"['A', 'A', 'A', 'T', '2']",3K
1648,64,1536,15180,74100,"['A', 'A', 'A', '9', '8']",3K
1649,64,1280,10120,39000,"['A', 'A', 'A', '9', '7']",3K
1650,64,1024,6072,15600,"['A', 'A', 'A', '9', '6']",3K
1651,64,768,3036,0,"['A', 'A', 'A', '9', '5']",3K
1652,64,512,1012,0,"['A', 'A', 'A', '9', '4']",3K
1653,64,256,0,0,"['A', 'A', 'A', '9', '3']",3K
1654,64,0,0,0,"['A', 'A', 'A', '9', '2']",3K
1655,64,1280,10120,35100,"['A', 'A', 'A', '8', '7']",3K
1656,64,1024,6072,15600,"['A', 'A', 'A', '8', '6']",3K
1657,64,768,3036,0,"['A', 'A', 'A', '8', '5']",3K
1658,64,512,1012,0,"['A', 'A', 'A', '8', '4']",3K
1659,64,256,0,0,"['A', 'A', 'A', '8', '3']",3K
1660,64,0,0,0,"['A', 'A', 'A', '8', '2']",3K
1661,64,1024,6072,11700,"['A', 'A', 'A', '7', '6']",3K
1662,64,768,3036,0,"['A', 'A', 'A', '7', '5']",3K
1663,64,512,1012,0,"['A', 'A', 'A', '7', '4']",3K
1664,64,256,0,0,"['A', 'A', 'A', '7', '3']",3K
1665,64,0,0,0,"['A', 'A', 'A', '7', '2']",3K
1666,64,768,3036,0,"['A', 'A', 'A', '6', '5']",3K
1667,64,512,1012,0,"['A', 'A', 'A', '6', '4']",3K
1668,64,256,0,0,"['A', 'A', 'A', '6', '3']",3K
1669,64,0,0,0,"['A', 'A', 'A', '6', '2']",3K
1670,64,512,0,0,"['A', 'A', 'A', '5', '4']",3K
1671,64,256,0,0,"['A', 'A', 'A', '5', '3']",3K
1672,64,0,0,0,"['A', 'A', 'A', '5', '2']",3K
1673,64,256,0,0,"['A', 'A', 'A', '4', '3']",3K
1674,64,0,0,0,"['A', 'A', 'A', '4', '2']",3K
1675,64,0,0,0,"['A', 'A', 'A', '3', '2']",3K
1676,64,2560,44528,436800,"['K', 'K', 'K', 'A', 'Q']",3K
1677,64,2304,36432,327600,"['K', 'K', 'K', 'A', 'J']",3K
1678,64,2048,28336,218400,"['K', 'K', 'K', 'A', 'T']",3K
1679,64,1792,21252,136500,"['K', 'K', 'K', 'A', '9']",3K
1680,64,1536,15180,78000,"['K', 'K', 'K', 'A', '8']",3K
1681,64,1280,10120,39000,"['K', 'K', 'K', 'A', '7']",3K
1682,64,1024,6072,15600,"['K', 'K', 'K', 'A', '6']",3K
1683,64,768,3036,0,"['K', 'K', 'K', 'A', '5']",3K
1684,64,512,1012,0,"['K', 'K', 'K', 'A', '4']",3K
1685,64,256,0,0,"['K', 'K', 'K', 'A', '3']",3K
